order_purchase_timestamp,BA,DF,MG,PR,RJ,RS,SC,SP
2016-09-30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2016-10-31,4.0,6.0,40.0,19.0,56.0,24.0,11.0,113.0
2016-12-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2017-01-31,25.0,13.0,108.0,65.0,97.0,54.0,31.0,299.0
2017-02-28,59.0,24.0,259.0,118.0,254.0,105.0,59.0,654.0
2017-03-31,91.0,57.0,358.0,127.0,395.0,151.0,110.0,1010.0
2017-04-30,93.0,35.0,275.0,114.0,338.0,139.0,105.0,908.0
2017-05-31,127.0,64.0,428.0,213.0,488.0,208.0,152.0,1425.0
2017-06-30,106.0,70.0,363.0,170.0,412.0,221.0,116.0,1331.0
2017-07-31,155.0,77.0,453.0,203.0,571.0,249.0,158.0,1604.0
2017-08-31,158.0,87.0,469.0,223.0,562.0,299.0,159.0,1729.0
2017-09-30,170.0,97.0,507.0,183.0,609.0,278.0,156.0,1638.0
2017-10-31,166.0,98.0,560.0,206.0,668.0,252.0,178.0,1793.0
2017-11-30,250.0,168.0,943.0,378.0,1048.0,422.0,303.0,3012.0
2017-12-31,192.0,131.0,691.0,270.0,783.0,283.0,193.0,2357.0
2018-01-31,239.0,138.0,863.0,378.0,893.0,373.0,314.0,3052.0
2018-02-28,214.0,172.0,804.0,342.0,922.0,368.0,257.0,2703.0
2018-03-31,249.0,150.0,879.0,377.0,907.0,418.0,252.0,3037.0
2018-04-30,225.0,148.0,786.0,386.0,834.0,349.0,246.0,3059.0
2018-05-31,241.0,144.0,762.0,311.0,833.0,351.0,227.0,3207.0
2018-06-30,201.0,150.0,717.0,308.0,716.0,305.0,205.0,2773.0
2018-07-31,250.0,166.0,658.0,320.0,717.0,316.0,198.0,2777.0
2018-08-31,165.0,145.0,708.0,333.0,745.0,300.0,206.0,3253.0
2018-09-30,0.0,0.0,4.0,0.0,3.0,0.0,1.0,8.0
2018-10-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
